domain,primary_gold_label,url_count,content_category,label_source
historydaily.org,MFA_High,3,history,pixalate_2024_industry_research
hollywoodreporter.com,Non_MFA,4,entertainment,editorial_publisher_allowlist
icepop.com,MFA_High,3,entertainment,pixalate_2024_industry_research
ign.com,Non_MFA,4,entertainment,editorial_publisher_allowlist
inc.com,Non_MFA,4,business,editorial_publisher_allowlist
independent.co.uk,Non_MFA,4,news,editorial_publisher_allowlist
infoq.com,Non_MFA,4,technology,editorial_publisher_allowlist
iwastesomuchmoney.com,MFA_High,3,shopping,pixalate_2024_industry_research
japantimes.co.jp,Non_MFA,4,news,editorial_publisher_allowlist
journalistate.com,MFA_High,3,news,pixalate_2024_industry_research
kaleandcardio.com,MFA_High,4,health,adalytics_2024_jounce_deepsee
khanacademy.org,Non_MFA,4,education,editorial_publisher_allowlist
kueez.com,MFA_High,4,entertainment,adalytics_2024_jounce_deepsee
latimes.com,Non_MFA,4,news,editorial_publisher_allowlist
lemonde.fr,Non_MFA,4,news,editorial_publisher_allowlist
lifestyle1st.com,MFA_High,4,lifestyle,adalytics_2024_jounce_deepsee
livestly.com,MFA_High,4,lifestyle,adalytics_2024_jounce_deepsee
lonelyplanet.com,Non_MFA,4,travel,editorial_publisher_allowlist
marketwatch.com,Non_MFA,4,finance,editorial_publisher_allowlist
mayoclinic.org,Non_MFA,4,health,editorial_publisher_allowlist
mentalfloss.com,Non_MFA,4,culture,editorial_publisher_allowlist
miamiherald.com,Non_MFA,4,news,editorial_publisher_allowlist
mit.edu,Non_MFA,4,education,editorial_publisher_allowlist
mlb.com,Non_MFA,4,sports,editorial_publisher_allowlist
moneytreestudio.com,MFA_High,4,finance,adalytics_2024_jounce_deepsee
morningstar.com,Non_MFA,4,finance,editorial_publisher_allowlist
motortrend.com,Non_MFA,4,automotive,editorial_publisher_allowlist
nationalgeographic.com,Non_MFA,4,nature,editorial_publisher_allowlist
nature.com,Non_MFA,4,science,editorial_publisher_allowlist
natureworldtoday.com,MFA_High,4,nature,adalytics_2024_jounce_deepsee
nba.com,Non_MFA,4,sports,editorial_publisher_allowlist
newscientist.com,Non_MFA,4,science,editorial_publisher_allowlist
newyorker.com,Non_MFA,4,news,editorial_publisher_allowlist
nfl.com,Non_MFA,4,sports,editorial_publisher_allowlist
nih.gov,Non_MFA,4,health,editorial_publisher_allowlist
novelodge.com,MFA_High,3,lifestyle,pixalate_2024_industry_research
npr.org,Non_MFA,4,news,editorial_publisher_allowlist
nytimes.com,Non_MFA,4,news,editorial_publisher_allowlist
oregonlive.com,Non_MFA,4,news,editorial_publisher_allowlist
oreilly.com,Non_MFA,4,technology,editorial_publisher_allowlist
parentingisnteasy.co,MFA_High,3,parenting,pixalate_2024_industry_research
parents.com,Non_MFA,4,parenting,editorial_publisher_allowlist
pbs.org,Non_MFA,4,news,editorial_publisher_allowlist
petsreporter.com,MFA_High,4,pets,adalytics_2024_jounce_deepsee
philly.com,Non_MFA,4,news,editorial_publisher_allowlist
playsstar.com,MFA_High,3,entertainment,pixalate_2024_industry_research
politico.com,Non_MFA,4,news,editorial_publisher_allowlist
polygon.com,Non_MFA,4,entertainment,editorial_publisher_allowlist
propublica.org,Non_MFA,4,news,editorial_publisher_allowlist
relieved.co,MFA_High,3,health,pixalate_2024_industry_research
reuters.com,Non_MFA,4,news,editorial_publisher_allowlist
science.org,Non_MFA,4,science,editorial_publisher_allowlist
sciencepicker.com,MFA_High,4,science,adalytics_2024_jounce_deepsee
scientificamerican.com,Non_MFA,4,science,editorial_publisher_allowlist
scmp.com,Non_MFA,4,news,editorial_publisher_allowlist
seattletimes.com,Non_MFA,4,news,editorial_publisher_allowlist
seeitlive.co,MFA_High,3,entertainment,pixalate_2024_industry_research
seekingalpha.com,Non_MFA,4,finance,editorial_publisher_allowlist
seriouseats.com,Non_MFA,4,food,editorial_publisher_allowlist
sfchronicle.com,Non_MFA,4,news,editorial_publisher_allowlist
shareably.net,MFA_High,3,entertainment,pixalate_2024_industry_research
sizzify.com,MFA_High,4,entertainment,adalytics_2024_jounce_deepsee
skysports.com,Non_MFA,4,sports,editorial_publisher_allowlist
smartworldmag.com,MFA_High,4,technology,adalytics_2024_jounce_deepsee
smithsonianmag.com,Non_MFA,4,culture,editorial_publisher_allowlist
spiegel.de,Non_MFA,4,news,editorial_publisher_allowlist
sportinal.com,MFA_High,3,sports,pixalate_2024_industry_research
sports.yahoo.com,Non_MFA,4,sports,editorial_publisher_allowlist
stanford.edu,Non_MFA,4,education,editorial_publisher_allowlist
startribune.com,Non_MFA,4,news,editorial_publisher_allowlist
statnews.com,Non_MFA,4,health,editorial_publisher_allowlist
straitstimes.com,Non_MFA,4,news,editorial_publisher_allowlist
techcrunch.com,Non_MFA,4,technology,editorial_publisher_allowlist
telegraph.co.uk,Non_MFA,4,news,editorial_publisher_allowlist
theathletic.com,Non_MFA,4,sports,editorial_publisher_allowlist
theatlantic.com,Non_MFA,4,news,editorial_publisher_allowlist
thefashionball.com,MFA_High,3,fashion,pixalate_2024_industry_research
theguardian.com,Non_MFA,4,news,editorial_publisher_allowlist
thehindu.com,Non_MFA,4,news,editorial_publisher_allowlist
theregister.com,Non_MFA,4,technology,editorial_publisher_allowlist
thesportsdrop.com,MFA_High,3,sports,pixalate_2024_industry_research
theverge.com,Non_MFA,4,technology,editorial_publisher_allowlist
time.com,Non_MFA,4,news,editorial_publisher_allowlist
tomshardware.com,Non_MFA,4,technology,editorial_publisher_allowlist
travelerdoor.com,MFA_High,4,travel,adalytics_2024_jounce_deepsee
travelroo.com,MFA_High,4,travel,adalytics_2024_jounce_deepsee
tripadvisor.com,Non_MFA,4,travel,editorial_publisher_allowlist
twentytwowords.com,MFA_High,3,entertainment,pixalate_2024_industry_research
variety.com,Non_MFA,4,entertainment,editorial_publisher_allowlist
vitaminews.com,MFA_High,3,health,pixalate_2024_industry_research
vogue.com,Non_MFA,4,fashion,editorial_publisher_allowlist
washingtonpost.com,Non_MFA,4,news,editorial_publisher_allowlist
wealthydriver.com,MFA_High,4,finance,adalytics_2024_jounce_deepsee
webmd.com,Non_MFA,4,health,editorial_publisher_allowlist
whattoexpect.com,Non_MFA,4,parenting,editorial_publisher_allowlist
wikipedia.org,Non_MFA,4,reference,editorial_publisher_allowlist
wired.com,Non_MFA,4,technology,editorial_publisher_allowlist
worldemand.com,MFA_High,3,entertainment,pixalate_2024_industry_research
worthly.com,MFA_High,4,lifestyle,adalytics_2024_jounce_deepsee
wsj.com,Non_MFA,4,news,editorial_publisher_allowlist
www.forbes.com,Non_MFA,3,business,ad_ops_contrast_set
www.investing.com,Non_MFA,3,finance,ad_ops_contrast_set
www.reference.com,Non_MFA,3,reference,ad_ops_contrast_set
yourdailydish.com,MFA_High,3,food,pixalate_2024_industry_research
yourdailylama.com,MFA_High,3,entertainment,pixalate_2024_industry_research
za.investing.com,MFA_High,4,finance,adalytics_2024_jounce_deepsee
zdnet.com,Non_MFA,4,technology,editorial_publisher_allowlist
